in s,C1 in V
-5.95980E-05,-1.31836E-04
-5.95968E-05,-2.68555E-04
-5.95956E-05,-1.70898E-04
-5.95944E-05,-1.61133E-04
-5.95932E-05,-8.30078E-05
-5.95920E-05,-1.80664E-04
-5.95908E-05,-1.02539E-04
-5.95896E-05,-2.09961E-04
-5.95884E-05,-1.02539E-04
-5.95872E-05,-1.31836E-04
-5.95860E-05,-3.41797E-05
-5.95848E-05,-2.00195E-04
-5.95836E-05,-9.27734E-05
-5.95824E-05,-2.00195E-04
-5.95812E-05,-1.61133E-04
-5.95800E-05,-9.27734E-05
-5.95788E-05,-2.09961E-04
-5.95776E-05,-2.97852E-04
-5.95764E-05,-2.09961E-04
-5.95752E-05,-2.19727E-04
-5.95740E-05,2.44141E-05
-5.95728E-05,-2.09961E-04
-5.95716E-05,-1.41602E-04
-5.95704E-05,-3.36914E-04
-5.95692E-05,-2.00195E-04
-5.95680E-05,-1.12305E-04
-5.95668E-05,-2.39258E-04
-5.95656E-05,-1.22070E-04
-5.95644E-05,-2.09961E-04
-5.95632E-05,-1.80664E-04
-5.95620E-05,-7.32422E-05
-5.95608E-05,-1.90430E-04
-5.95596E-05,-1.12305E-04
-5.95584E-05,-7.32422E-05
-5.95572E-05,-1.51367E-04
-5.95560E-05,-1.02539E-04
-5.95548E-05,-2.09961E-04
-5.95536E-05,-9.27734E-05
-5.95524E-05,-2.19727E-04
-5.95512E-05,-7.32422E-05
-5.95500E-05,-1.61133E-04
-5.95488E-05,-6.34766E-05
-5.95476E-05,-2.44141E-05
-5.95464E-05,-1.61133E-04
-5.95452E-05,-1.90430E-04
-5.95440E-05,-1.02539E-04
-5.95428E-05,-8.30078E-05
-5.95416E-05,-6.34766E-05
-5.95404E-05,-2.49023E-04
-5.95392E-05,-9.27734E-05
-5.95380E-05,-2.97852E-04
-5.95368E-05,-1.02539E-04
-5.95356E-05,-1.80664E-04
-5.95344E-05,-1.41602E-04
-5.95332E-05,-1.22070E-04
-5.95320E-05,-1.61133E-04
-5.95308E-05,-2.09961E-04
-5.95296E-05,-1.12305E-04
-5.95284E-05,-2.09961E-04
-5.95272E-05,-2.58789E-04
-5.95260E-05,-1.70898E-04
-5.95248E-05,-2.39258E-04
-5.95236E-05,-2.49023E-04
-5.95224E-05,-1.12305E-04
-5.95212E-05,-1.90430E-04
-5.95200E-05,-2.09961E-04
-5.95188E-05,-1.41602E-04
-5.95176E-05,-2.78320E-04
-5.95164E-05,-2.09961E-04
-5.95152E-05,-2.58789E-04
-5.95140E-05,-2.09961E-04
-5.95128E-05,4.39453E-05
-5.95116E-05,-1.70898E-04
-5.95104E-05,-1.80664E-04
-5.95092E-05,-1.80664E-04
-5.95080E-05,-3.41797E-05
-5.95068E-05,-1.02539E-04
-5.95056E-05,-1.80664E-04
-5.95044E-05,-7.32422E-05
-5.95032E-05,-2.19727E-04
-5.95020E-05,-1.31836E-04
-5.95008E-05,-2.00195E-04
-5.94996E-05,-4.39453E-05
-5.94984E-05,-1.12305E-04
-5.94972E-05,-8.30078E-05
-5.94960E-05,-7.32422E-05
-5.94948E-05,-1.41602E-04
-5.94936E-05,-1.80664E-04
-5.94924E-05,-7.32422E-05
-5.94912E-05,-1.31836E-04
-5.94900E-05,-8.30078E-05
-5.94888E-05,-2.88086E-04
-5.94876E-05,-1.51367E-04
-5.94864E-05,-8.30078E-05
-5.94852E-05,-2.29492E-04
-5.94840E-05,-1.41602E-04
-5.94828E-05,-2.39258E-04
-5.94816E-05,-2.09961E-04
-5.94804E-05,2.44141E-05
-5.94792E-05,-1.80664E-04
-5.94780E-05,-1.51367E-04
-5.94768E-05,-1.70898E-04
-5.94756E-05,-2.00195E-04
-5.94744E-05,-1.61133E-04
-5.94732E-05,-1.41602E-04
-5.94720E-05,-6.34766E-05
-5.94708E-05,-1.41602E-04
-5.94696E-05,-6.34766E-05
-5.94684E-05,-1.02539E-04
-5.94672E-05,-1.12305E-04
-5.94660E-05,-1.02539E-04
-5.94648E-05,-1.51367E-04
-5.94636E-05,-1.22070E-04
-5.94624E-05,-1.22070E-04
-5.94612E-05,-1.80664E-04
-5.94600E-05,-1.12305E-04
-5.94588E-05,-4.39453E-05
-5.94576E-05,-1.02539E-04
-5.94564E-05,-1.80664E-04
-5.94552E-05,-1.51367E-04
-5.94540E-05,-1.12305E-04
-5.94528E-05,-1.22070E-04
-5.94516E-05,-3.07617E-04
-5.94504E-05,-6.34766E-05
-5.94492E-05,-1.80664E-04
-5.94480E-05,-1.12305E-04
-5.94468E-05,-4.88281E-06
-5.94456E-05,-1.90430E-04
-5.94444E-05,-2.44141E-05
-5.94432E-05,-2.68555E-04
-5.94420E-05,-1.51367E-04
-5.94408E-05,-2.29492E-04
-5.94396E-05,-1.51367E-04
-5.94384E-05,-1.12305E-04
-5.94372E-05,-2.39258E-04
-5.94360E-05,-1.70898E-04
-5.94348E-05,-1.02539E-04
-5.94336E-05,-1.80664E-04
-5.94324E-05,-1.12305E-04
-5.94312E-05,-2.09961E-04
-5.94300E-05,-2.58789E-04
-5.94288E-05,-1.02539E-04
-5.94276E-05,-1.80664E-04
-5.94264E-05,-2.39258E-04
-5.94252E-05,-1.80664E-04
-5.94240E-05,-2.44141E-05
-5.94228E-05,-7.32422E-05
-5.94216E-05,-2.09961E-04
-5.94204E-05,-1.70898E-04
-5.94192E-05,-1.61133E-04
-5.94180E-05,-2.58789E-04
-5.94168E-05,-1.90430E-04
-5.94156E-05,-1.02539E-04
-5.94144E-05,-2.68555E-04
-5.94132E-05,-4.39453E-05
-5.94120E-05,-1.80664E-04
-5.94108E-05,-1.51367E-04
-5.94096E-05,-4.88281E-06
-5.94084E-05,-1.90430E-04
-5.94072E-05,4.39453E-05
-5.94060E-05,-3.41797E-05
-5.94048E-05,-1.31836E-04
-5.94036E-05,-8.30078E-05
-5.94024E-05,-1.41602E-04
-5.94012E-05,-1.41602E-04
-5.94000E-05,-1.80664E-04
-5.93988E-05,-5.37109E-05
-5.93976E-05,-1.02539E-04
-5.93964E-05,-1.41602E-04
-5.93952E-05,-2.00195E-04
-5.93940E-05,-2.09961E-04
-5.93928E-05,-2.49023E-04
-5.93916E-05,-7.32422E-05
-5.93904E-05,-2.88086E-04
-5.93892E-05,-6.34766E-05
-5.93880E-05,-3.27148E-04
-5.93868E-05,-1.02539E-04
-5.93856E-05,-4.39453E-05
-5.93844E-05,-5.37109E-05
-5.93832E-05,-1.22070E-04
-5.93820E-05,-7.32422E-05
-5.93808E-05,-2.78320E-04
-5.93796E-05,-1.80664E-04
-5.93784E-05,-1.12305E-04
-5.93772E-05,-1.70898E-04
-5.93760E-05,-1.46484E-05
-5.93748E-05,-2.09961E-04
-5.93736E-05,-8.30078E-05
-5.93724E-05,-6.34766E-05
-5.93712E-05,-2.39258E-04
-5.93700E-05,-1.31836E-04
-5.93688E-05,-2.29492E-04
-5.93676E-05,-9.27734E-05
-5.93664E-05,-1.70898E-04
-5.93652E-05,-1.02539E-04
-5.93640E-05,-1.41602E-04
-5.93628E-05,-1.51367E-04
-5.93616E-05,-1.41602E-04
-5.93604E-05,-1.12305E-04
-5.93592E-05,-1.70898E-04
-5.93580E-05,-1.51367E-04
-5.93568E-05,-2.19727E-04
-5.93556E-05,-2.09961E-04
-5.93544E-05,-1.61133E-04
-5.93532E-05,-1.80664E-04
-5.93520E-05,-2.49023E-04
-5.93508E-05,-1.31836E-04
-5.93496E-05,-1.12305E-04
-5.93484E-05,-1.61133E-04
-5.93472E-05,-1.02539E-04
-5.93460E-05,-9.27734E-05
-5.93448E-05,-1.41602E-04
-5.93436E-05,-2.68555E-04
-5.93424E-05,-1.31836E-04
-5.93412E-05,-1.12305E-04
-5.93400E-05,-1.02539E-04
-5.93388E-05,-1.02539E-04
-5.93376E-05,-7.32422E-05
-5.93364E-05,-2.19727E-04
-5.93352E-05,-7.32422E-05
-5.93340E-05,-2.58789E-04
-5.93328E-05,-1.51367E-04
-5.93316E-05,-1.80664E-04
-5.93304E-05,8.30078E-05
-5.93292E-05,-8.30078E-05
-5.93280E-05,-1.22070E-04
-5.93268E-05,-3.07617E-04
-5.93256E-05,-1.22070E-04
-5.93244E-05,-1.90430E-04
-5.93232E-05,-1.70898E-04
-5.93220E-05,-1.61133E-04
-5.93208E-05,-2.09961E-04
-5.93196E-05,-4.39453E-05
-5.93184E-05,-1.31836E-04
-5.93172E-05,-7.32422E-05
-5.93160E-05,-1.70898E-04
-5.93148E-05,-8.30078E-05
-5.93136E-05,-2.68555E-04
-5.93124E-05,-2.68555E-04
-5.93112E-05,-1.80664E-04
-5.93100E-05,-2.39258E-04
-5.93088E-05,-1.61133E-04
-5.93076E-05,-1.41602E-04
-5.93064E-05,-2.29492E-04
-5.93052E-05,-1.80664E-04
-5.93040E-05,5.37109E-05
-5.93028E-05,-2.19727E-04
-5.93016E-05,-1.41602E-04
-5.93004E-05,-2.19727E-04
-5.92992E-05,-7.32422E-05
-5.92980E-05,-2.39258E-04
-5.92968E-05,-2.39258E-04
-5.92956E-05,4.39453E-05
-5.92944E-05,-1.70898E-04
-5.92932E-05,-6.34766E-05
-5.92920E-05,-1.31836E-04
-5.92908E-05,-1.80664E-04
-5.92896E-05,-1.61133E-04
-5.92884E-05,-6.34766E-05
-5.92872E-05,-2.19727E-04
-5.92860E-05,-1.70898E-04
-5.92848E-05,-1.02539E-04
-5.92836E-05,-7.32422E-05
-5.92824E-05,-1.22070E-04
-5.92812E-05,-1.31836E-04
-5.92800E-05,-1.41602E-04
-5.92788E-05,-4.39453E-05
-5.92776E-05,-3.46680E-04
-5.92764E-05,-2.00195E-04
-5.92752E-05,-1.22070E-04
-5.92740E-05,-1.41602E-04
-5.92728E-05,-9.27734E-05
-5.92716E-05,-8.30078E-05
-5.92704E-05,-4.39453E-05
-5.92692E-05,-5.37109E-05
-5.92680E-05,-1.80664E-04
-5.92668E-05,-5.37109E-05
-5.92656E-05,-2.29492E-04
-5.92644E-05,-9.27734E-05
-5.92632E-05,-1.41602E-04
-5.92620E-05,-1.02539E-04
-5.92608E-05,-2.88086E-04
-5.92596E-05,-2.09961E-04
-5.92584E-05,-2.44141E-05
-5.92572E-05,-2.44141E-05
-5.92560E-05,-1.12305E-04
-5.92548E-05,-3.41797E-05
-5.92536E-05,-1.61133E-04
-5.92524E-05,-1.22070E-04
-5.92512E-05,-1.70898E-04
-5.92500E-05,-1.41602E-04
-5.92488E-05,-2.58789E-04
-5.92476E-05,-2.58789E-04
-5.92464E-05,-2.49023E-04
-5.92452E-05,-1.41602E-04
-5.92440E-05,-1.41602E-04
-5.92428E-05,-2.00195E-04
-5.92416E-05,-4.88281E-06
-5.92404E-05,-4.39453E-05
-5.92392E-05,-1.51367E-04
-5.92380E-05,-9.27734E-05
-5.92368E-05,-1.12305E-04
-5.92356E-05,-7.32422E-05
-5.92344E-05,-2.19727E-04
-5.92332E-05,4.88281E-06
-5.92320E-05,-1.51367E-04
-5.92308E-05,-1.41602E-04
-5.92296E-05,-9.27734E-05
-5.92284E-05,-1.80664E-04
-5.92272E-05,-1.41602E-04
-5.92260E-05,-8.30078E-05
-5.92248E-05,-2.49023E-04
-5.92236E-05,2.44141E-05
-5.92224E-05,-1.51367E-04
-5.92212E-05,-8.30078E-05
-5.92200E-05,-1.41602E-04
-5.92188E-05,-1.51367E-04
-5.92176E-05,-2.00195E-04
-5.92164E-05,-2.09961E-04
-5.92152E-05,-1.12305E-04
-5.92140E-05,-2.09961E-04
-5.92128E-05,-4.39453E-05
-5.92116E-05,-1.80664E-04
-5.92104E-05,-4.39453E-05
-5.92092E-05,-4.39453E-05
-5.92080E-05,-3.41797E-05
-5.92068E-05,-1.70898E-04
-5.92056E-05,-7.32422E-05
-5.92044E-05,-2.00195E-04
-5.92032E-05,-7.32422E-05
-5.92020E-05,-1.80664E-04
-5.92008E-05,-1.41602E-04
-5.91996E-05,-2.00195E-04
-5.91984E-05,-4.88281E-06
-5.91972E-05,-7.32422E-05
-5.91960E-05,-1.61133E-04
-5.91948E-05,-1.31836E-04
-5.91936E-05,-3.41797E-05
-5.91924E-05,-1.80664E-04
-5.91912E-05,-1.12305E-04
-5.91900E-05,-7.32422E-05
-5.91888E-05,-1.90430E-04
-5.91876E-05,-4.88281E-06
-5.91864E-05,-1.61133E-04
-5.91852E-05,-1.90430E-04
-5.91840E-05,-6.34766E-05
-5.91828E-05,-1.12305E-04
-5.91816E-05,-4.88281E-06
-5.91804E-05,-1.31836E-04
-5.91792E-05,-1.41602E-04
-5.91780E-05,-1.70898E-04
-5.91768E-05,-6.34766E-05
-5.91756E-05,-8.30078E-05
-5.91744E-05,-1.61133E-04
-5.91732E-05,-1.51367E-04
-5.91720E-05,-3.41797E-05
-5.91708E-05,-1.41602E-04
-5.91696E-05,-3.41797E-05
-5.91684E-05,-1.70898E-04
-5.91672E-05,-4.88281E-06
-5.91660E-05,-1.51367E-04
-5.91648E-05,-2.00195E-04
-5.91636E-05,-6.34766E-05
-5.91624E-05,-3.41797E-05
-5.91612E-05,-1.02539E-04
-5.91600E-05,-4.88281E-06
-5.91588E-05,-1.41602E-04
-5.91576E-05,3.41797E-05
-5.91564E-05,-1.70898E-04
-5.91552E-05,-2.29492E-04
-5.91540E-05,-2.88086E-04
-5.91528E-05,-1.12305E-04
-5.91516E-05,-2.00195E-04
-5.91504E-05,-2.19727E-04
